leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
202203,sphere,polar,1,3.90656,4,19,107,0,16,128
202243,sphere,polar,1,1.95328,0,1,51,0,16,128
202244,sphere,polar,1,1.95328,3,12,63,0,16,128
202222,sphere,polar,1,1.95328,3,22,72,0,16,128
202212,sphere,polar,1,0.976641,0,5,27,0,16,128
202215,sphere,polar,1,0.976641,0,3,40,0,16,128
202208,sphere,polar,1,1.95328,5,21,65,0,16,128
202211,sphere,polar,1,1.95328,21,24,66,0,16,128
431184,sphere,polar,1,1.95328,11,11,23,0,16,128
431213,sphere,polar,1,0.976641,11,21,57,0,16,128
431214,sphere,polar,1,0.976641,0,5,57,0,16,128
431203,sphere,polar,1,0.976641,0,9,55,0,16,128
431204,sphere,polar,1,0.976641,0,40,57,0,16,128
431196,sphere,polar,1,0.976641,0,14,49,0,16,128
431197,sphere,polar,1,0.976641,8,15,47,0,16,128
431185,sphere,polar,1,0.976641,12,20,57,0,16,128
431186,sphere,polar,1,0.976641,32,37,45,0,16,128
431179,sphere,polar,1,1.95328,0,16,96,0,16,128
431180,sphere,polar,1,1.95328,0,12,89,0,16,128
427728,sphere,polar,1,0.976641,0,0,30,0,16,128
427717,sphere,polar,1,0.976641,0,0,29,0,16,128
518226,sphere,polar,1,3.90656,0,7,31,0,16,128
518034,sphere,polar,1,1.95328,0,1,103,0,16,128
518035,sphere,polar,1,1.95328,1,3,68,0,16,128
517811,sphere,polar,1,1.95328,4,7,68,0,16,128
517812,sphere,polar,1,1.95328,13,13,48,0,16,128
517813,sphere,polar,1,1.95328,0,0,17,0,16,128
517814,sphere,polar,1,1.95328,0,2,36,0,16,128
98989,sphere,polar,1,1.95328,0,8,59,0,16,128
98990,sphere,polar,1,1.95328,0,22,67,0,16,128
98956,sphere,polar,1,1.95328,0,0,40,0,16,128
98965,sphere,polar,1,1.95328,12,19,40,0,16,128
98966,sphere,polar,1,0.976641,0,2,40,0,16,128
98967,sphere,polar,1,0.976641,2,4,19,0,16,128
98957,sphere,polar,1,0.976641,6,11,17,0,16,128
98960,sphere,polar,1,0.976641,9,26,26,0,16,128
98961,sphere,polar,1,0.976641,18,30,30,0,16,128
98964,sphere,polar,1,0.976641,16,16,30,0,16,128
98933,sphere,polar,1,1.95328,0,7,49,0,16,128
98931,sphere,polar,1,0.976641,0,22,22,0,16,128
393856,sphere,polar,1,1.95328,0,34,34,0,16,128
393850,sphere,polar,1,0.976641,9,13,43,0,16,128
393852,sphere,polar,1,0.976641,3,3,32,0,16,128
393738,sphere,polar,1,0.976641,12,26,61,0,16,128
393741,sphere,polar,1,0.976641,0,0,55,0,16,128
393732,sphere,polar,1,0.976641,0,8,33,0,16,128
421726,sphere,polar,1,1.95328,41,42,87,0,16,128
421739,sphere,polar,1,1.95328,1,14,47,0,16,128
421723,sphere,polar,1,0.976641,25,27,60,0,16,128
421724,sphere,polar,1,0.976641,15,24,57,0,16,128
421709,sphere,polar,1,0.976641,14,18,54,0,16,128
421710,sphere,polar,1,0.976641,0,0,51,0,16,128
421715,sphere,polar,1,0.976641,0,0,35,0,16,128
421716,sphere,polar,1,0.976641,9,19,74,0,16,128
324560,sphere,polar,1,1.95328,0,17,56,0,16,128
324561,sphere,polar,1,1.95328,0,3,18,0,16,128
324566,sphere,polar,1,1.95328,1,4,17,0,16,128
324573,sphere,polar,1,0.976641,3,14,73,0,16,128
322911,sphere,polar,1,1.95328,9,14,34,0,16,128
322954,sphere,polar,1,0.976641,10,21,49,0,16,128
322955,sphere,polar,1,0.976641,5,10,23,0,16,128
322914,sphere,polar,1,0.976641,19,23,23,0,16,128
322917,sphere,polar,1,0.976641,27,33,33,0,16,128
322904,sphere,polar,1,1.95328,0,21,57,0,16,128
272591,sphere,polar,1,1.95328,0,1,94,0,16,128
272387,sphere,polar,1,3.90656,0,0,70,0,16,128
321998,sphere,polar,1,1.95328,0,0,54,0,16,128
